seed,strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,CVaR
16,MLP-L1,0.0830640010535717,0.12989596962082248,0.6394655269242563,0.9237718537182696,-0.22781164944171906,0.09181398153305054
16,MLP-L2,0.15202026441693306,0.19449198934860593,0.781627341618578,1.2449243891566426,-0.27056097984313965,0.12454638630151749
16,Graph-L1,0.22519518435001373,0.23614670973891091,0.953624020689318,1.643731221250265,-0.34474337100982666,0.12931950390338898
16,Graph-L2,0.2167312502861023,0.24435252644899597,0.8869613282338115,1.5022808794597036,-0.3742574453353882,0.1400948017835617
17,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
17,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
17,MLP-L1,0.09062308631837368,0.13258326187008587,0.6835182526433076,1.044509307252698,-0.22452637553215027,0.08683260530233383
17,MLP-L2,0.11109922081232071,0.19184684412434297,0.5791036883008425,0.8723038943872168,-0.35489776730537415,0.12479928135871887
17,Graph-L1,0.25684071332216263,0.23731157298407038,1.0822932032753039,1.9306059659287524,-0.35272911190986633,0.13018102943897247
17,Graph-L2,0.1425296813249588,0.24007820384622502,0.5936801971388039,0.9266406181276106,-0.6358175873756409,0.14537738263607025
18,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
18,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
18,MLP-L1,0.07839738763868809,0.13253579807401983,0.5915185396153769,0.8772296540561048,-0.23339034616947174,0.08930307626724243
18,MLP-L2,0.16737382113933563,0.18751350794370092,0.8925960270746346,1.3952683239160588,-0.31906837224960327,0.1223733201622963
18,Graph-L1,0.23117177188396454,0.24275571426911047,0.9522814449792155,1.658755393154758,-0.35235920548439026,0.13254475593566895
18,Graph-L2,0.20880380272865295,0.2313486335670437,0.902550365151126,1.5627452615722082,-0.37826862931251526,0.12106171250343323
19,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
19,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
19,MLP-L1,0.08561439625918865,0.1365213503220954,0.6271135597916565,1.004308786607724,-0.2168157994747162,0.08417697995901108
19,MLP-L2,0.16694142669439316,0.20724838137554175,0.8055137392689776,1.3799990932435067,-0.35228583216667175,0.1189204752445221
19,Graph-L1,0.20668159425258636,0.23170483141886933,0.8920037794072389,1.4866048367095297,-0.38610196113586426,0.13088278472423553
19,Graph-L2,0.17059554532170296,0.2386882037369633,0.7147212786539217,1.1327620446209128,-0.4459596872329712,0.13402745127677917
20,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
20,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
20,MLP-L1,0.0919110719114542,0.12646253565738236,0.7267849261904274,1.113589898924882,-0.21838857233524323,0.0823206976056099
20,MLP-L2,0.15081729367375374,0.2143729320321247,0.7035276571945033,1.0930728173718838,-0.3681088089942932,0.13911916315555573
20,Graph-L1,0.241919606924057,0.23884453229203234,1.0128747536054847,1.7685619848541545,-0.3801855444908142,0.12964487075805664
20,Graph-L2,0.23760227859020233,0.24603574906348127,0.9657225416932058,1.6450486193122484,-0.3599827289581299,0.1317392736673355
21,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
21,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
21,MLP-L1,0.0835806392133236,0.12465896302600965,0.6704743123135211,1.032674577637465,-0.19206923246383667,0.08134738355875015
21,MLP-L2,0.19681017100811005,0.21091101721008815,0.933143105941387,1.6283374575066318,-0.2806130349636078,0.11516460031270981
